Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId	SourceDisplayName
Cantidad y tipos de fuentes	Nivel Inicial: Para comprender hechos o tomar decisiones se considera solo una fuente de datos.\nNivel Intermedio: Para comprender hechos o tomar decisiones se consideran dos fuentes de análisis de similares características (por ejemplo solo datos cuantitativos).\nNivel Avanzado: Para comprender hechos o tomar decisiones se consideran más de dos fuentes de análisis y de distintas características (cuantitativas y cualitativas).	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	1	Guía metodológica
_ Análisis colaborativo: Considerando la última vez que se accedió a datos entregados por la Agencia de Calidad: ¿Quiénes accedieron a esos datos? ¿Se realizaron instancias formales de análisis de esos datos? ¿Quiénes participaron en estas instancias?	Nivel Inicial: Para comprender hechos o tomar decisiones se considera solo una fuente de datos.\nNivel Intermedio: Para comprender hechos o tomar decisiones se consideran dos fuentes de análisis de similares características (por ejemplo solo datos cuantitativos).\nNivel Avanzado: Para comprender hechos o tomar decisiones se consideran más de dos fuentes de análisis y de distintas características (cuantitativas y cualitativas).	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	1	Guía metodológica
1 Herramientas preliminares Los siguientes son ejemplos recordatorios de lo datos con los que cuenta el establecimiento para abordar sus análisis, y ejemplos de hojas de registro para sistematizarlos.	1.2 Ejemplos de hojas de registro Figura 7.1 Ejemplo de hoja de registro para el docente Datos de Registro (Docentes)	Libro_uso_guia_metodologica.txt		[{"ClusterHead":"ejemplo orientaciones","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"ejemplo orientaciones","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	2	Guía metodológica
¿Qué son los datos? ¿Cuáles datos?	Un dato es aquella información significativa respecto de los estudiantes, las familias, los docentes y la escuela, que es recolectada a través de diversos métodos, que al organizarse posibilita representar diversos aspectos de la institución educativa (Lai y Schildkamp, 2013). Esta definición amplía el espectro de posibilidades de considerar datos para este fin en educación, pero también establece determinados estándares que serán necesarios de tener en cuenta al momento del uso, que se describirán más adelante.\n\nLos datos que se utilizan están en relación con el problema que se busca resolver (Datnow y Park, 2015; Coburn y Turner, 2011), lo cual implica que no es posible que a priori se realice una descripción exhaustiva de la totalidad de aquellos que están disponibles, sino que emergen de la necesidad de uso y se enmarcan en las condiciones y dinámicas organizacionales en las que se llevará a cabo el proceso de uso. Pese a esta salvaguarda, la literatura ha permitido identificar tipos de datos que se consideran relevantes para la toma de decisiones en el ámbito educativo. Algunos de ellos son presentados por Gill, Borden y Hallgren (2014):\n- Evaluación formativa, \n- Diagnósticos,\n- Evaluaciones sumativas internas, \n- Pruebas estandarizadas, \n- Entrevistas, \n- Observaciones, \n- Dinámicas de conversación, \n- Encuestas, \n- Registros administrativos y financieros, \n- Antecedentes de los estudiantes, \n- Estadísticas.\n\nLos datos varían en su naturaleza, pueden ser producidos directamente para su análisis con un determinado objetivo (información primaria), o ser utilizados cuando ya hayan sido procesados (información secundaria).\n\nAdemás de los datos, los actores e instituciones educativas cuentan con un conjunto de instrumentos y documentos (por ejemplo, su Proyecto Educativo o su Plan de Mejoramiento) que, en momentos específicos, también pueden entregar o convertirse en datos relevantes a integrar en los análisis.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[{"ClusterHead":"que son los datos?","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":1,"AlternateQuestionList":[{"Question":"que son los datos?","AutoSuggestedCount":2,"UserSuggestedCount":1}]},{"ClusterHead":"Lámina 1 ¿Qué son los datos?","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Lámina 1 ¿Qué son los datos?","AutoSuggestedCount":1,"UserSuggestedCount":0}]},{"ClusterHead":"que es data wise","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"que es data wise","AutoSuggestedCount":2,"UserSuggestedCount":0}]},{"ClusterHead":"que son los datos","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":2,"AlternateQuestionList":[{"Question":"que son los datos","AutoSuggestedCount":2,"UserSuggestedCount":2}]}]	False	[]	3	Guía metodológica
¿Qué son los datos?	Un dato es aquella información significativa respecto de los estudiantes, las familias, los docentes y la escuela, que es recolectada a través de diversos métodos, que al organizarse posibilita representar diversos aspectos de la institución educativa (Lai y Schildkamp, 2013). Esta definición amplía el espectro de posibilidades de considerar datos para este fin en educación, pero también establece determinados estándares que serán necesarios de tener en cuenta al momento del uso, que se describirán más adelante.\n\nLos datos que se utilizan están en relación con el problema que se busca resolver (Datnow y Park, 2015; Coburn y Turner, 2011), lo cual implica que no es posible que a priori se realice una descripción exhaustiva de la totalidad de aquellos que están disponibles, sino que emergen de la necesidad de uso y se enmarcan en las condiciones y dinámicas organizacionales en las que se llevará a cabo el proceso de uso. Pese a esta salvaguarda, la literatura ha permitido identificar tipos de datos que se consideran relevantes para la toma de decisiones en el ámbito educativo. Algunos de ellos son presentados por Gill, Borden y Hallgren (2014):\n- Evaluación formativa, \n- Diagnósticos,\n- Evaluaciones sumativas internas, \n- Pruebas estandarizadas, \n- Entrevistas, \n- Observaciones, \n- Dinámicas de conversación, \n- Encuestas, \n- Registros administrativos y financieros, \n- Antecedentes de los estudiantes, \n- Estadísticas.\n\nLos datos varían en su naturaleza, pueden ser producidos directamente para su análisis con un determinado objetivo (información primaria), o ser utilizados cuando ya hayan sido procesados (información secundaria).\n\nAdemás de los datos, los actores e instituciones educativas cuentan con un conjunto de instrumentos y documentos (por ejemplo, su Proyecto Educativo o su Plan de Mejoramiento) que, en momentos específicos, también pueden entregar o convertirse en datos relevantes a integrar en los análisis.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[{"ClusterHead":"que son los datos?","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":1,"AlternateQuestionList":[{"Question":"que son los datos?","AutoSuggestedCount":2,"UserSuggestedCount":1}]},{"ClusterHead":"Lámina 1 ¿Qué son los datos?","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Lámina 1 ¿Qué son los datos?","AutoSuggestedCount":1,"UserSuggestedCount":0}]},{"ClusterHead":"que es data wise","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"que es data wise","AutoSuggestedCount":2,"UserSuggestedCount":0}]},{"ClusterHead":"que son los datos","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":2,"AlternateQuestionList":[{"Question":"que son los datos","AutoSuggestedCount":2,"UserSuggestedCount":2}]}]	False	[]	3	Guía metodológica
¿Para qué se usan los datos?	En cualquier organización, y por cierto en una institución educativa, el uso de datos tiene un propósito eminentemente aplicado, es decir, se realiza para tomar algún tipo de decisión que favorezca el mejoramiento.\n\nDe acuerdo a Goertz, Oláh y Riggan (2009), es posible clasificar tres grandes finalidades a las que aporta el uso de datos: - Mejorar las prácticas en el aula, es decir, los atributos relacionados con las metodologías de aprendizaje, incluyendo aspectos como el ambiente para el desarrollo del aprendizaje y las estrategias didácticas.\n\n*   Promover mejoras en el desarrollo del aprendizaje, es decir, generar cambios positivos en el desarrollo cognitivo y/o formativo de los estudiantes.\n*   Perfeccionar la gestión institucional, lo que corresponde al diseño y ejecución de procesos y prácticas que favorezcan el mejoramiento de los procesos de enseñanza y aprendizaje.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[{"ClusterHead":"que usos le podriamos dar a los datos","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"que usos le podriamos dar a los datos","AutoSuggestedCount":1,"UserSuggestedCount":0}]},{"ClusterHead":"Qué son los datos?","TotalAutoSuggestedCount":3,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Qué son los datos?","AutoSuggestedCount":3,"UserSuggestedCount":0}]},{"ClusterHead":"que son los datos?","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"que son los datos?","AutoSuggestedCount":2,"UserSuggestedCount":0}]},{"ClusterHead":"que uso se le puede dar a la metodologia","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":1,"AlternateQuestionList":[{"Question":"que uso se le puede dar a la metodologia","AutoSuggestedCount":1,"UserSuggestedCount":1}]},{"ClusterHead":"que son los datos","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"que son los datos","AutoSuggestedCount":2,"UserSuggestedCount":0}]},{"ClusterHead":"¿Qué son los datos?","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"¿Qué son los datos?","AutoSuggestedCount":2,"UserSuggestedCount":0}]}]	False	[]	4	Guía metodológica
¿Qué hacer en el paso 1?	Sistemáticamente la escuela produce y recibe resultados de aprendizaje que constituyen una gran cantidad de información que, a veces, puede resultar abrumadora. Pero esta información contiene detalles que servirán para comprender qué sucede con los aprendizajes, por ello su adecuado análisis es esencial.\n\nEl director y/o jefe de UTP debe promover una conversación inicial, para definir en conjunto cuál es el problema principal en los aprendizajes que se convertirá en el desafío a trabajar por la escuela.\n\nPara abordar este primer paso, les sugerimos comenzar observando los resultados obtenidos por sus estudiantes en los logros de aprendizaje (por ejemplo, los resultados educativos de Simce u otros resultados de aprendizaje que puedan mostrarle a grandes rasgos si sus alumnos están aprendiendo en las distintas asignaturas). Lo anterior le permitirá a la comunidad poder identificar un desafío o problema prioritario.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[{"ClusterHead":"En qué consiste el taller 1?","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"En qué consiste el taller 1?","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	5	Guía metodológica
¿Qué hacer en el paso uno?	Sistemáticamente la escuela produce y recibe resultados de aprendizaje que constituyen una gran cantidad de información que, a veces, puede resultar abrumadora. Pero esta información contiene detalles que servirán para comprender qué sucede con los aprendizajes, por ello su adecuado análisis es esencial.\n\nEl director y/o jefe de UTP debe promover una conversación inicial, para definir en conjunto cuál es el problema principal en los aprendizajes que se convertirá en el desafío a trabajar por la escuela.\n\nPara abordar este primer paso, les sugerimos comenzar observando los resultados obtenidos por sus estudiantes en los logros de aprendizaje (por ejemplo, los resultados educativos de Simce u otros resultados de aprendizaje que puedan mostrarle a grandes rasgos si sus alumnos están aprendiendo en las distintas asignaturas). Lo anterior le permitirá a la comunidad poder identificar un desafío o problema prioritario.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[{"ClusterHead":"En qué consiste el taller 1?","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"En qué consiste el taller 1?","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	5	Guía metodológica
¿Cómo hacerlo en el paso 1?	1.  Observar los resultados de aprendizaje de los estudiantes.\n2.  Identificar las áreas donde los estudiantes no están logrando las metas de aprendizaje.\n3.  Acordar criterios para priorizar entre las distintas necesidades o problemas que se observan a partir de los datos.\n4.  Analizar alternativas.\n5.  Redactar el desafío.\n\nUna vez definido el desafío a trabajar, se debe redactar en conjunto, de manera simple, para que todos lo comprendan y compartan.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[{"ClusterHead":"como identificar desafios","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"como identificar desafios","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	6	Guía metodológica
¿Cómo hacerlo en el paso uno?	1.  Observar los resultados de aprendizaje de los estudiantes.\n2.  Identificar las áreas donde los estudiantes no están logrando las metas de aprendizaje.\n3.  Acordar criterios para priorizar entre las distintas necesidades o problemas que se observan a partir de los datos.\n4.  Analizar alternativas.\n5.  Redactar el desafío.\n\nUna vez definido el desafío a trabajar, se debe redactar en conjunto, de manera simple, para que todos lo comprendan y compartan.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[{"ClusterHead":"como identificar desafios","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"como identificar desafios","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	6	Guía metodológica
